iter	RMSE
0	58.16216193
1	56.29481198
2	53.86669752
3	51.58388888
4	48.813701
5	47.61947494
6	45.14132628
7	44.11663133
8	42.50458563
9	40.32079986
10	38.91231653
11	36.87466889
12	35.49059021
13	33.71862683
14	32.778924
15	31.50398835
16	29.95353369
17	29.1371109
18	27.90339558
19	27.16471887
20	26.36891018
21	25.65979263
22	24.96412956
23	24.28711796
24	23.57510348
25	22.8813546
26	22.09553757
27	21.42987937
28	20.81233488
29	19.94766029
30	19.35880788
31	18.64760248
32	17.85690676
33	17.11975731
34	16.56396454
35	16.1429082
36	15.59836403
37	15.07608081
38	14.6401268
39	14.09717958
40	13.70634396
41	13.35424707
42	13.0409055
43	12.69515428
44	12.37738171
45	12.09732253
46	11.78990072
47	11.49603721
48	11.23222817
49	10.9757187
50	10.70132573
51	10.43379258
52	10.17294776
53	9.918624066
54	9.670658461
55	9.428891996
56	9.19488061
57	8.965008591
58	8.740883373
59	8.522361285
60	8.30930225
61	8.101569691
62	7.899030445
63	7.701554681
64	7.509015811
65	7.321290413
66	7.13825815
67	6.959801694
68	6.785806649
69	6.61616148
70	6.450757441
71	6.289488502
72	6.132251287
73	5.978945003
74	5.829471376
75	5.683734589
76	5.541641222
77	5.40310019
78	5.268022683
79	5.136322114
80	5.007914059
81	4.882716206
82	4.760648299
83	4.64163209
84	4.525591286
85	4.412451502
86	4.302140213
87	4.194586706
88	4.089722036
89	3.987478984
90	3.887792008
91	3.790597206
92	3.695832275
93	3.603436466
94	3.513350553
95	3.425516788
96	3.339878867
97	3.256381894
98	3.174972346
99	3.095598036
100	3.018208084
101	2.942752881
102	2.869184058
103	2.797454455
104	2.727518093
105	2.659330139
106	2.592846885
107	2.528025712
108	2.464825068
109	2.40320444
110	2.343124329
111	2.284546219
112	2.227432563
113	2.171746748
114	2.117453079
115	2.064516751
116	2.012903831
117	1.962581235
118	1.913516703
119	1.865678785
120	1.819036815
121	1.773560894
122	1.729221871
123	1.685991323
124	1.643841539
125	1.6027455
126	1.562676862
127	1.52360994
128	1.485519691
129	1.448381698
130	1.412172155
131	1.376867851
132	1.342446154
133	1.308885
134	1.276162874
135	1.244258802
136	1.213152331
137	1.182823523
138	1.153252934
139	1.12442161
140	1.09631107
141	1.068903293
142	1.04218071
143	1.016126192
144	0.9907230365
145	0.9659549602
146	0.9418060858
147	0.9182609334
148	0.8953044097
149	0.8729217991
150	0.8510987538
151	0.8298212846
152	0.8090757522
153	0.7888488581
154	0.7691276364
155	0.7498994452
156	0.7311519588
157	0.7128731595
158	0.6950513303
159	0.6776750467
160	0.6607331703
161	0.6442148408
162	0.6281094696
163	0.6124067326
164	0.597096564
165	0.5821691497
166	0.5676149208
167	0.5534245475
168	0.5395889336
169	0.5260992101
170	0.5129467296
171	0.5001230612
172	0.4876199845
173	0.4754294847
174	0.4635437474
175	0.4519551535
176	0.4406562745
177	0.4296398675
178	0.4188988707
179	0.4084263987
180	0.3982157386
181	0.388260345
182	0.3785538362
183	0.3690899902
184	0.3598627403
185	0.3508661717
186	0.3420945172
187	0.3335421542
188	0.3252036002
189	0.3170735101
190	0.3091466722
191	0.3014180053
192	0.293882555
193	0.2865354911
194	0.2793721037
195	0.272387801
196	0.2655781058
197	0.2589386531
198	0.2524651867
199	0.2461535569
200	0.2399997179
201	0.2339997249
202	0.2281497317
203	0.2224459883
204	0.2168848385
205	0.2114627174
206	0.2061761494
207	0.2010217456
208	0.1959962019
209	0.1910962968
210	0.1863188893
211	0.181660917
212	0.177119394
213	0.1726914091
214	0.1683741238
215	0.1641647706
216	0.1600606513
217	0.156059135
218	0.1521576565
219	0.1483537151
220	0.1446448721
221	0.1410287503
222	0.1375030315
223	0.1340654556
224	0.1307138192
225	0.1274459737
226	0.1242598243
227	0.1211533286
228	0.1181244954
229	0.1151713829
230	0.1122920983
231	0.1094847958
232	0.1067476759
233	0.1040789839
234	0.1014770093
235	0.09894008403
236	0.09646658189
237	0.09405491731
238	0.09170354434
239	0.0894109557
240	0.08717568177
241	0.0849962897
242	0.08287138242
243	0.08079959783
244	0.07877960786
245	0.07681011763
246	0.07488986466
247	0.07301761802
248	0.07119217754
249	0.06941237307
250	0.06767706372
251	0.0659851371
252	0.06433550865
253	0.06272712091
254	0.06115894286
255	0.05962996927
256	0.05813922002
257	0.05668573949
258	0.05526859599
259	0.05388688107
260	0.05253970902
261	0.05122621627
262	0.04994556085
263	0.04869692181
264	0.04747949874
265	0.04629251126
266	0.04513519846
267	0.04400681848
268	0.042906648
269	0.04183398179
270	0.04078813223
271	0.03976842891
272	0.03877421817
273	0.0378048627
274	0.03685974112
