iter	Passed	Remaining
0	131	131340
1	132	65939
2	132	44021
3	132	33103
4	133	26511
5	133	22125
6	133	18991
7	134	16635
8	134	14827
9	135	13383
10	135	12195
11	135	11193
12	136	10355
13	136	9633
14	137	9017
15	137	8471
16	138	7987
17	138	7573
18	139	7188
19	139	6853
20	140	6544
21	141	6276
22	141	6021
23	142	5785
24	142	5574
25	143	5378
26	144	5201
27	145	5063
28	146	4911
29	147	4755
30	147	4617
31	148	4483
32	149	4369
33	149	4256
34	150	4145
35	151	4050
36	152	3964
37	152	3868
38	153	3773
39	153	3686
40	154	3603
41	154	3529
42	155	3461
43	156	3393
44	157	3340
45	158	3281
46	159	3241
47	161	3205
48	162	3151
49	162	3095
50	163	3047
51	164	2994
52	165	2948
53	165	2902
54	166	2858
55	167	2825
56	168	2786
57	170	2763
58	171	2729
59	171	2694
60	172	2657
61	173	2623
62	174	2588
63	175	2562
64	176	2532
65	176	2500
66	177	2468
67	178	2444
68	179	2416
69	180	2396
70	181	2380
71	182	2355
72	183	2328
73	183	2302
74	184	2278
75	185	2254
76	186	2231
77	186	2207
78	187	2182
79	187	2159
80	189	2150
81	191	2139
82	191	2120
83	192	2100
84	193	2081
85	194	2063
86	194	2044
87	195	2025
88	196	2006
89	196	1987
90	197	1972
91	198	1957
92	199	1945
93	200	1930
94	201	1916
95	202	1908
96	203	1895
97	204	1879
98	204	1863
99	205	1848
100	205	1832
101	206	1817
102	206	1801
103	207	1788
104	208	1773
105	208	1760
106	209	1751
107	210	1737
108	211	1725
109	211	1714
110	212	1702
111	214	1696
112	214	1687
113	215	1674
114	216	1663
115	216	1652
116	217	1640
117	217	1629
118	218	1618
119	219	1611
120	220	1604
121	221	1594
122	222	1589
123	223	1580
124	224	1570
125	224	1560
126	225	1550
127	226	1539
128	226	1530
129	227	1520
130	227	1511
131	228	1504
132	229	1495
133	230	1487
134	230	1478
135	231	1473
136	232	1466
137	233	1461
138	234	1455
139	235	1447
140	236	1439
141	236	1431
142	237	1423
143	237	1414
144	238	1406
145	239	1398
146	239	1390
147	240	1382
148	241	1379
149	242	1375
150	244	1374
151	246	1374
152	247	1368
153	247	1361
154	248	1355
155	249	1348
156	249	1341
157	250	1333
158	250	1326
159	251	1319
160	252	1314
161	252	1307
162	253	1303
163	254	1297
164	256	1296
165	257	1291
166	257	1285
167	258	1279
168	258	1273
169	259	1266
170	260	1260
171	260	1254
172	261	1248
173	261	1241
174	262	1236
175	262	1230
176	264	1229
177	265	1224
178	266	1223
179	267	1219
180	268	1214
181	268	1208
182	269	1203
183	270	1198
184	270	1192
185	271	1187
186	272	1182
187	272	1177
188	273	1171
189	273	1167
190	275	1165
191	276	1161
192	277	1161
193	278	1157
194	279	1153
195	279	1148
196	280	1143
197	281	1138
198	281	1133
199	282	1129
200	282	1124
201	283	1118
202	283	1114
203	284	1110
204	286	1109
205	287	1106
206	288	1106
207	289	1102
208	290	1098
209	290	1094
210	291	1090
211	292	1086
212	292	1082
213	293	1077
